,AIRPORTS,MONTH,YEAR,PAX,MOVEMENTS,CARGO (KG)
1652,SON BONET,10,2012,292,774,0
1653,TENERIFE NORTE-C. LA LAGUNA,10,2012,292931,4330,1374357
1654,TENERIFE SUR,10,2012,756371,4724,404212
1655,VALENCIA,10,2012,407314,5281,1031331
1656,VALLADOLID,10,2012,36396,667,1710
1657,VIGO,10,2012,70413,875,61340
1658,VITORIA,10,2012,597,500,3089315
1659,ZARAGOZA,10,2012,50935,842,6841105
1660,A CORUÑA,11,2012,69586,981,12617
1661,ADOLFO SUAREZ MADRID-BARAJAS,11,2012,3151110,27543,31680968
1662,ALBACETE,11,2012,360,115,0
1663,ALGECIRAS-HELIPUERTO,11,2012,0,0,0
1664,ALICANTE-ELCHE,11,2012,519746,3880,210575
1665,ALMERIA,11,2012,29700,813,286
1666,ASTURIAS,11,2012,86910,935,9361
1667,BADAJOZ,11,2012,5504,175,0
1668,BARCELONA-EL PRAT J.T.,11,2012,2279699,19911,8058248
1669,BILBAO,11,2012,285562,3719,181893
1670,BURGOS,11,2012,978,127,0
1671,CEUTA-HELIPUERTO,11,2012,34,18,0
1672,CORDOBA,11,2012,474,300,0
1673,EL HIERRO,11,2012,11608,312,9203
1674,FGL GRANADA-JAEN,11,2012,49033,836,2425
1675,FUERTEVENTURA,11,2012,326780,2688,100238
1676,GIRONA-COSTA BRAVA,11,2012,98802,1231,4386
1677,GRAN CANARIA,11,2012,875409,8267,1726242
1678,HUESCA-PIRINEOS,11,2012,6,192,0
1679,IBIZA,11,2012,99935,1532,134724
1680,JEREZ DE LA FRONTERA,11,2012,45072,2915,675
1681,LA GOMERA,11,2012,1382,100,0
1682,LA PALMA,11,2012,70974,1080,48944
1683,LANZAROTE-CESAR MANRIQUE,11,2012,390621,3248,158377
1684,LEON,11,2012,1845,185,0
1685,LOGROÑO,11,2012,1235,98,0
1686,MADRID-CUATRO VIENTOS,11,2012,108,2212,0
1687,MADRID-TORREJON,11,2012,2482,961,0
1688,MALAGA-COSTA DEL SOL,11,2012,646301,5682,201077
1689,MELILLA,11,2012,26880,806,17107
1690,MENORCA,11,2012,54206,913,100595
1691,MURCIA-SAN JAVIER,11,2012,34849,442,6
1692,PALMA DE MALLORCA,11,2012,710141,6892,946274
1693,PAMPLONA,11,2012,14901,482,3519
1694,REUS,11,2012,23153,1001,0
1695,SABADELL,11,2012,182,2129,0
1696,SALAMANCA,11,2012,1063,648,0
1697,SAN SEBASTIAN,11,2012,20766,570,27806
1698,SANTIAGO-ROSALIA DE CASTRO,11,2012,137981,1402,143984
1699,SEVE BALLESTEROS-SANTANDER,11,2012,63363,954,0
1700,SEVILLA,11,2012,277173,3394,375239
1701,SON BONET,11,2012,169,631,0
1702,TENERIFE NORTE-C. LA LAGUNA,11,2012,264833,3862,1326118
1703,TENERIFE SUR,11,2012,754394,4833,336888
1704,VALENCIA,11,2012,290024,4337,988596
1705,VALLADOLID,11,2012,18429,391,304
1706,VIGO,11,2012,54374,730,48998
1707,VITORIA,11,2012,2264,550,3101372
1708,ZARAGOZA,11,2012,38541,673,6176130
1709,A CORUÑA,12,2012,54322,836,22675
1710,ADOLFO SUAREZ MADRID-BARAJAS,12,2012,3073005,26784,32261270
1711,ALBACETE,12,2012,187,51,0
1712,ALGECIRAS-HELIPUERTO,12,2012,0,0,0
1713,ALICANTE-ELCHE,12,2012,448836,3460,211770
1714,ALMERIA,12,2012,28768,672,339
1715,ASTURIAS,12,2012,92052,911,6672
1716,BADAJOZ,12,2012,5075,176,0
1717,BARCELONA-EL PRAT J.T.,12,2012,2190115,19253,8076995
1718,BILBAO,12,2012,266411,3304,152480
1719,BURGOS,12,2012,923,122,0
1720,CEUTA-HELIPUERTO,12,2012,41,18,0
1721,CORDOBA,12,2012,520,340,0
1722,EL HIERRO,12,2012,12322,338,8137
1723,FGL GRANADA-JAEN,12,2012,53528,898,811
1724,FUERTEVENTURA,12,2012,312172,2801,97450
1725,GIRONA-COSTA BRAVA,12,2012,91517,1085,1380
1726,GRAN CANARIA,12,2012,901174,8606,1894939
1727,HUESCA-PIRINEOS,12,2012,16,321,0
1728,IBIZA,12,2012,100160,1501,128496
1729,JEREZ DE LA FRONTERA,12,2012,32923,2000,15
1730,LA GOMERA,12,2012,1763,138,88
1731,LA PALMA,12,2012,74609,1178,50085
1732,LANZAROTE-CESAR MANRIQUE,12,2012,384185,3464,168464
1733,LEON,12,2012,1586,150,0
1734,LOGROÑO,12,2012,705,101,0
1735,MADRID-CUATRO VIENTOS,12,2012,136,1782,0
1736,MADRID-TORREJON,12,2012,1738,708,22
1737,MALAGA-COSTA DEL SOL,12,2012,581545,5398,174237
1738,MELILLA,12,2012,27774,806,16660
1739,MENORCA,12,2012,56703,920,101438
1740,MURCIA-SAN JAVIER,12,2012,21745,294,19
1741,PALMA DE MALLORCA,12,2012,614993,6166,887762
1742,PAMPLONA,12,2012,11963,456,950
1743,REUS,12,2012,16178,725,504
1744,SABADELL,12,2012,203,2212,60
1745,SALAMANCA,12,2012,819,342,0
1746,SAN SEBASTIAN,12,2012,15804,462,597
1747,SANTIAGO-ROSALIA DE CASTRO,12,2012,153155,1386,136479
1748,SEVE BALLESTEROS-SANTANDER,12,2012,66247,946,0
1749,SEVILLA,12,2012,273829,3238,353294
1750,SON BONET,12,2012,157,645,0
1751,TENERIFE NORTE-C. LA LAGUNA,12,2012,291487,4300,1092916
1752,TENERIFE SUR,12,2012,744459,5068,362373
1753,VALENCIA,12,2012,285103,4104,927741
1754,VALLADOLID,12,2012,20219,264,193
1755,VIGO,12,2012,54566,750,47157
1756,VITORIA,12,2012,2147,548,2887835
1757,ZARAGOZA,12,2012,38145,608,5593302
1758,A CORUÑA,1,2013,49714,720,12657
1759,ADOLFO SUAREZ MADRID-BARAJAS,1,2013,2911200,26399,26857544
1760,ALBACETE,1,2013,210,72,0
1761,ALGECIRAS-HELIPUERTO,1,2013,0,0,0
1762,ALICANTE-ELCHE,1,2013,431741,3373,215331
1763,ALMERIA,1,2013,28653,651,450
1764,ASTURIAS,1,2013,81528,882,7995
1765,BADAJOZ,1,2013,2925,160,0
1766,BARCELONA-EL PRAT J.T.,1,2013,1997231,18306,7642009
1767,BILBAO,1,2013,241334,3191,175081
1768,BURGOS,1,2013,955,161,0
1769,CEUTA-HELIPUERTO,1,2013,95,26,0
1770,CORDOBA,1,2013,488,308,0
1771,EL HIERRO,1,2013,10425,330,8809
1772,FGL GRANADA-JAEN,1,2013,46139,797,831
1773,FUERTEVENTURA,1,2013,310401,2641,86659
1774,GIRONA-COSTA BRAVA,1,2013,79046,1096,700
1775,GRAN CANARIA,1,2013,881345,8426,1652240
1776,HUESCA-PIRINEOS,1,2013,13,145,0
1777,IBIZA,1,2013,88459,1422,139611
1778,JEREZ DE LA FRONTERA,1,2013,28004,2613,156
1779,LA GOMERA,1,2013,1429,129,14
1780,LA PALMA,1,2013,67337,1018,61087
1781,LANZAROTE-CESAR MANRIQUE,1,2013,375128,3334,146880
1782,LEON,1,2013,1441,122,0
1783,LOGROÑO,1,2013,904,87,0
1784,MADRID-CUATRO VIENTOS,1,2013,104,2210,0
1785,MADRID-TORREJON,1,2013,1970,779,17
1786,MALAGA-COSTA DEL SOL,1,2013,537657,5118,187471
1787,MELILLA,1,2013,24706,766,16262
1788,MENORCA,1,2013,50227,910,114686
1789,MURCIA-SAN JAVIER,1,2013,22078,352,0
1790,PALMA DE MALLORCA,1,2013,558827,5868,832467
1791,PAMPLONA,1,2013,12129,473,128
1792,REUS,1,2013,14501,766,0
1793,SABADELL,1,2013,144,2097,0
1794,SALAMANCA,1,2013,1163,383,0
1795,SAN SEBASTIAN,1,2013,15577,411,313
1796,SANTIAGO-ROSALIA DE CASTRO,1,2013,139895,1391,143040
1797,SEVE BALLESTEROS-SANTANDER,1,2013,54285,930,0
1798,SEVILLA,1,2013,243991,3164,366707
1799,SON BONET,1,2013,97,554,0
1800,TENERIFE NORTE-C. LA LAGUNA,1,2013,259083,3879,935219
1801,TENERIFE SUR,1,2013,754487,4902,339294
1802,VALENCIA,1,2013,263491,4013,973358
1803,VALLADOLID,1,2013,17988,294,0
1804,VIGO,1,2013,50135,732,40784
1805,VITORIA,1,2013,521,474,2932381
1806,ZARAGOZA,1,2013,35328,589,4806352
1807,A CORUÑA,2,2013,47203,786,12137
1808,ADOLFO SUAREZ MADRID-BARAJAS,2,2013,2638918,24057,26143144
1809,ALBACETE,2,2013,195,66,0
1810,ALGECIRAS-HELIPUERTO,2,2013,0,0,0
1811,ALICANTE-ELCHE,2,2013,449683,3293,216362
1812,ALMERIA,2,2013,31017,605,535
1813,ASTURIAS,2,2013,81083,807,5634
1814,BADAJOZ,2,2013,499,86,0
1815,BARCELONA-EL PRAT J.T.,2,2013,2011982,17276,7572032
1816,BILBAO,2,2013,248477,3163,173828
1817,BURGOS,2,2013,844,124,0
1818,CEUTA-HELIPUERTO,2,2013,90,26,0
1819,CORDOBA,2,2013,497,413,0
1820,EL HIERRO,2,2013,10515,314,7707
1821,FGL GRANADA-JAEN,2,2013,41877,825,1897
1822,FUERTEVENTURA,2,2013,302235,2476,84801
1823,GIRONA-COSTA BRAVA,2,2013,78587,1048,802
1824,GRAN CANARIA,2,2013,835154,7732,1566157
1825,HUESCA-PIRINEOS,2,2013,20,169,0
1826,IBIZA,2,2013,97192,1448,122332
1827,JEREZ DE LA FRONTERA,2,2013,33023,2933,3797
1828,LA GOMERA,2,2013,1308,123,0
1829,LA PALMA,2,2013,68905,1078,50449
1830,LANZAROTE-CESAR MANRIQUE,2,2013,363265,3053,138723
1831,LEON,2,2013,1284,91,0
1832,LOGROÑO,2,2013,737,70,0
1833,MADRID-CUATRO VIENTOS,2,2013,139,2625,0
1834,MADRID-TORREJON,2,2013,0,0,0
1835,MALAGA-COSTA DEL SOL,2,2013,574380,4850,179382
1836,MELILLA,2,2013,21281,592,15236
1837,MENORCA,2,2013,50849,853,88446
1838,MURCIA-SAN JAVIER,2,2013,23825,295,0
1839,PALMA DE MALLORCA,2,2013,608912,5776,855767
1840,PAMPLONA,2,2013,10496,427,928
1841,REUS,2,2013,15444,751,0
1842,SABADELL,2,2013,132,1631,0
1843,SALAMANCA,2,2013,531,336,0
1844,SAN SEBASTIAN,2,2013,14104,387,503
1845,SANTIAGO-ROSALIA DE CASTRO,2,2013,137908,1302,124967
1846,SEVE BALLESTEROS-SANTANDER,2,2013,52720,849,387
1847,SEVILLA,2,2013,252109,3004,360502
1848,SON BONET,2,2013,74,513,0
1849,TENERIFE NORTE-C. LA LAGUNA,2,2013,248512,3748,978707
1850,TENERIFE SUR,2,2013,734824,4572,324691
1851,VALENCIA,2,2013,264267,3754,933214
1852,VALLADOLID,2,2013,19887,311,401
1853,VIGO,2,2013,46314,715,28353
1854,VITORIA,2,2013,222,404,2770388
1855,ZARAGOZA,2,2013,34206,542,4592836
1856,A CORUÑA,3,2013,53395,786,14095
1857,ADOLFO SUAREZ MADRID-BARAJAS,3,2013,3173963,26998,29057897
1858,ALBACETE,3,2013,57,21,0
1859,ALGECIRAS-HELIPUERTO,3,2013,0,0,0
1860,ALICANTE-ELCHE,3,2013,615526,4364,203095
1861,ALMERIA,3,2013,40510,734,218
1862,ASTURIAS,3,2013,98209,912,6538
1863,BADAJOZ,3,2013,53,21,0
1864,BARCELONA-EL PRAT J.T.,3,2013,2541386,20645,8567583
1865,BILBAO,3,2013,304795,3486,178977
1866,BURGOS,3,2013,1468,141,0
1867,CEUTA-HELIPUERTO,3,2013,108,37,0
1868,CORDOBA,3,2013,360,308,0
1869,EL HIERRO,3,2013,11759,301,8043
1870,FGL GRANADA-JAEN,3,2013,52159,782,583
1871,FUERTEVENTURA,3,2013,377851,3094,89328
1872,GIRONA-COSTA BRAVA,3,2013,140955,1452,952
1873,GRAN CANARIA,3,2013,965296,8992,1678585
1874,HUESCA-PIRINEOS,3,2013,4,232,0
1875,IBIZA,3,2013,145323,1919,133414
1876,JEREZ DE LA FRONTERA,3,2013,53697,2828,133
1877,LA GOMERA,3,2013,1915,128,0
1878,LA PALMA,3,2013,74360,1122,56123
1879,LANZAROTE-CESAR MANRIQUE,3,2013,459737,3678,149285
1880,LEON,3,2013,1542,75,0
1881,LOGROÑO,3,2013,460,56,0
1882,MADRID-CUATRO VIENTOS,3,2013,67,2499,0
1883,MADRID-TORREJON,3,2013,0,0,0
1884,MALAGA-COSTA DEL SOL,3,2013,833635,6693,193085
1885,MELILLA,3,2013,25163,586,15031
1886,MENORCA,3,2013,71046,1106,112167
1887,MURCIA-SAN JAVIER,3,2013,51730,523,0
1888,PALMA DE MALLORCA,3,2013,1049756,8990,904689
1889,PAMPLONA,3,2013,11253,493,150
1890,REUS,3,2013,29839,974,0
1891,SABADELL,3,2013,222,1910,0
1892,SALAMANCA,3,2013,928,404,0
1893,SAN SEBASTIAN,3,2013,16123,423,602
1894,SANTIAGO-ROSALIA DE CASTRO,3,2013,173490,1534,132294
1895,SEVE BALLESTEROS-SANTANDER,3,2013,70273,1032,0
1896,SEVILLA,3,2013,327168,3346,357776
1897,SON BONET,3,2013,122,718,0
1898,TENERIFE NORTE-C. LA LAGUNA,3,2013,288766,4037,1006892
1899,TENERIFE SUR,3,2013,872683,5466,344578
1900,VALENCIA,3,2013,358474,4459,884423
1901,VALLADOLID,3,2013,18077,258,530
1902,VIGO,3,2013,52309,774,41808
1903,VITORIA,3,2013,207,405,3238421
1904,ZARAGOZA,3,2013,44677,706,6001975
1905,A CORUÑA,4,2013,60008,1045,10580
1906,ADOLFO SUAREZ MADRID-BARAJAS,4,2013,3249035,28090,28997623
1907,ALBACETE,4,2013,66,25,0
1908,ALGECIRAS-HELIPUERTO,4,2013,14,16,0
1909,ALICANTE-ELCHE,4,2013,827743,6055,198922
1910,ALMERIA,4,2013,55150,903,857
1911,ASTURIAS,4,2013,83411,740,8114
1912,BADAJOZ,4,2013,117,49,0
1913,BARCELONA-EL PRAT J.T.,4,2013,2868707,23703,8951108
1914,BILBAO,4,2013,318755,3660,224558
1915,BURGOS,4,2013,1417,137,0
1916,CEUTA-HELIPUERTO,4,2013,177,37,0
1917,CORDOBA,4,2013,639,547,0
1918,EL HIERRO,4,2013,10796,319,8809
1919,FGL GRANADA-JAEN,4,2013,54947,915,763
1920,FUERTEVENTURA,4,2013,337585,2822,82316
1921,GIRONA-COSTA BRAVA,4,2013,252570,2580,2226
1922,GRAN CANARIA,4,2013,728688,7593,1493283
1923,HUESCA-PIRINEOS,4,2013,25,159,0
1924,IBIZA,4,2013,256249,3015,149889
1925,JEREZ DE LA FRONTERA,4,2013,70294,4357,127
1926,LA GOMERA,4,2013,1646,133,64
1927,LA PALMA,4,2013,63345,1016,50514
1928,LANZAROTE-CESAR MANRIQUE,4,2013,418932,3668,170525
1929,LEON,4,2013,1847,135,0
1930,LOGROÑO,4,2013,1070,105,0
1931,MADRID-CUATRO VIENTOS,4,2013,201,3575,0
1932,MADRID-TORREJON,4,2013,0,0,0
1933,MALAGA-COSTA DEL SOL,4,2013,1120298,8988,193349
1934,MELILLA,4,2013,21713,549,14156
1935,MENORCA,4,2013,84791,1261,103467
1936,MURCIA-SAN JAVIER,4,2013,106243,904,0
1937,PALMA DE MALLORCA,4,2013,1613512,13260,1009587
1938,PAMPLONA,4,2013,17065,608,935
1939,REUS,4,2013,61043,1469,0
1940,SABADELL,4,2013,281,2264,0
1941,SALAMANCA,4,2013,1317,424,0
1942,SAN SEBASTIAN,4,2013,22157,542,896
1943,SANTIAGO-ROSALIA DE CASTRO,4,2013,180496,1561,164838
1944,SEVE BALLESTEROS-SANTANDER,4,2013,92001,1138,0
1945,SEVILLA,4,2013,348944,3640,708334
1946,SON BONET,4,2013,206,765,0
1947,TENERIFE NORTE-C. LA LAGUNA,4,2013,273480,3971,1142476
1948,TENERIFE SUR,4,2013,729688,4736,266681
1949,VALENCIA,4,2013,413093,4948,1043187
1950,VALLADOLID,4,2013,21983,367,354
1951,VIGO,4,2013,55328,876,39870
1952,VITORIA,4,2013,128,434,3235276
1953,ZARAGOZA,4,2013,41290,695,6381461
1954,A CORUÑA,5,2013,65346,1067,3205
1955,ADOLFO SUAREZ MADRID-BARAJAS,5,2013,3407014,29361,27981460
1956,ALBACETE,5,2013,44,23,0
1957,ALGECIRAS-HELIPUERTO,5,2013,1008,198,0
1958,ALICANTE-ELCHE,5,2013,930207,6635,218312
1959,ALMERIA,5,2013,73849,1036,1551
1960,ASTURIAS,5,2013,80742,743,8705
1961,BADAJOZ,5,2013,110,48,0
1962,BARCELONA-EL PRAT J.T.,5,2013,3218707,25896,8071628
1963,BILBAO,5,2013,322090,3766,232736
1964,BURGOS,5,2013,1415,192,0
1965,CEUTA-HELIPUERTO,5,2013,1637,310,0
1966,CORDOBA,5,2013,604,420,0
1967,EL HIERRO,5,2013,11614,330,8001
1968,FGL GRANADA-JAEN,5,2013,57860,965,854
1969,FUERTEVENTURA,5,2013,307918,2765,81421
1970,GIRONA-COSTA BRAVA,5,2013,294723,2931,8932
1971,GRAN CANARIA,5,2013,633707,6822,1397136
1972,HUESCA-PIRINEOS,5,2013,31,181,0
1973,IBIZA,5,2013,546870,5356,225773
1974,JEREZ DE LA FRONTERA,5,2013,89698,4261,0
1975,LA GOMERA,5,2013,1923,159,42
1976,LA PALMA,5,2013,63233,1050,50105
1977,LANZAROTE-CESAR MANRIQUE,5,2013,405398,3447,162044
1978,LEON,5,2013,1961,122,0
1979,LOGROÑO,5,2013,1180,122,0
1980,MADRID-CUATRO VIENTOS,5,2013,223,3473,0
1981,MADRID-TORREJON,5,2013,0,0,0
1982,MALAGA-COSTA DEL SOL,5,2013,1284267,10088,229901
1983,MELILLA,5,2013,24696,691,15085
1984,MENORCA,5,2013,232018,2235,140681
1985,MURCIA-SAN JAVIER,5,2013,125157,1093,0
1986,PALMA DE MALLORCA,5,2013,2496890,18538,1148800
1987,PAMPLONA,5,2013,16652,536,24
1988,REUS,5,2013,114252,1736,0
1989,SABADELL,5,2013,269,2548,0
1990,SALAMANCA,5,2013,1445,741,0
1991,SAN SEBASTIAN,5,2013,26104,586,152
1992,SANTIAGO-ROSALIA DE CASTRO,5,2013,177295,1520,158905
1993,SEVE BALLESTEROS-SANTANDER,5,2013,91341,1164,397
1994,SEVILLA,5,2013,351431,4056,419299
1995,SON BONET,5,2013,360,1037,0
1996,TENERIFE NORTE-C. LA LAGUNA,5,2013,294766,4217,1184679
1997,TENERIFE SUR,5,2013,591855,3815,231213
1998,VALENCIA,5,2013,411428,5204,1114818
1999,VALLADOLID,5,2013,30471,414,0
2000,VIGO,5,2013,63181,1028,34119
2001,VITORIA,5,2013,876,468,3250619
2002,ZARAGOZA,5,2013,33973,649,4950144
2003,A CORUÑA,6,2013,80253,1277,4347
2004,ADOLFO SUAREZ MADRID-BARAJAS,6,2013,3538631,28524,27305626
2005,ALBACETE,6,2013,77,36,0
2006,ALGECIRAS-HELIPUERTO,6,2013,994,216,0
2007,ALICANTE-ELCHE,6,2013,996864,6811,208810
2008,ALMERIA,6,2013,83325,1134,2280
2009,ASTURIAS,6,2013,88094,802,7152
2010,BADAJOZ,6,2013,203,50,0
2011,BARCELONA-EL PRAT J.T.,6,2013,3495146,26239,7954479
2012,BILBAO,6,2013,349211,3861,216397
2013,BURGOS,6,2013,1914,220,0
2014,CEUTA-HELIPUERTO,6,2013,1666,352,0
2015,CORDOBA,6,2013,718,808,0
2016,EL HIERRO,6,2013,10794,332,9051
2017,FGL GRANADA-JAEN,6,2013,57082,999,779
2018,FUERTEVENTURA,6,2013,325504,2729,71743
2019,GIRONA-COSTA BRAVA,6,2013,323015,3052,1673
2020,GRAN CANARIA,6,2013,655445,6739,1432281
2021,HUESCA-PIRINEOS,6,2013,130,171,0
2022,IBIZA,6,2013,852029,7687,252383
2023,JEREZ DE LA FRONTERA,6,2013,85936,3680,0
2024,LA GOMERA,6,2013,2208,140,70
2025,LA PALMA,6,2013,58215,996,43231
2026,LANZAROTE-CESAR MANRIQUE,6,2013,430361,3460,172406
2027,LEON,6,2013,2824,265,0
2028,LOGROÑO,6,2013,987,118,0
2029,MADRID-CUATRO VIENTOS,6,2013,204,3492,0
2030,MADRID-TORREJON,6,2013,0,0,0
2031,MALAGA-COSTA DEL SOL,6,2013,1366288,10387,242360
2032,MELILLA,6,2013,23363,664,13138
2033,MENORCA,6,2013,384930,3179,157649
2034,MURCIA-SAN JAVIER,6,2013,144735,1205,30
2035,PALMA DE MALLORCA,6,2013,2956506,20594,1167806
2036,PAMPLONA,6,2013,16015,507,25
2037,REUS,6,2013,154000,2184,60
2038,SABADELL,6,2013,383,2950,0
2039,SALAMANCA,6,2013,1107,732,0
2040,SAN SEBASTIAN,6,2013,24355,621,71
2041,SANTIAGO-ROSALIA DE CASTRO,6,2013,181338,1526,157295
2042,SEVE BALLESTEROS-SANTANDER,6,2013,99133,1166,0
2043,SEVILLA,6,2013,323719,3814,404520
2044,SON BONET,6,2013,365,1108,0
2045,TENERIFE NORTE-C. LA LAGUNA,6,2013,297179,4001,1193642
2046,TENERIFE SUR,6,2013,597773,3863,232815
2047,VALENCIA,6,2013,429561,5201,870400
2048,VALLADOLID,6,2013,20298,459,789
2049,VIGO,6,2013,60365,919,42360
2050,VITORIA,6,2013,92,450,3032556
2051,ZARAGOZA,6,2013,36894,678,5782334
2052,A CORUÑA,7,2013,86693,1454,889
2053,ADOLFO SUAREZ MADRID-BARAJAS,7,2013,3879482,30232,28447367
2054,ALBACETE,7,2013,34,18,0
2055,ALGECIRAS-HELIPUERTO,7,2013,846,232,0
2056,ALICANTE-ELCHE,7,2013,1176818,8048,243653
2057,ALMERIA,7,2013,92419,1168,1603
2058,ASTURIAS,7,2013,103736,1041,10030
2059,BADAJOZ,7,2013,4083,165,0
2060,BARCELONA-EL PRAT J.T.,7,2013,3840387,28065,8316687
2061,BILBAO,7,2013,405813,4304,243529
2062,BURGOS,7,2013,2610,286,0
2063,CEUTA-HELIPUERTO,7,2013,1453,397,0
2064,CORDOBA,7,2013,669,611,0
2065,EL HIERRO,7,2013,14794,397,10199
2066,FGL GRANADA-JAEN,7,2013,58474,931,874
2067,FUERTEVENTURA,7,2013,384005,3177,80548
2068,GIRONA-COSTA BRAVA,7,2013,384187,3573,6831
2069,GRAN CANARIA,7,2013,760396,7619,1459380
2070,HUESCA-PIRINEOS,7,2013,9,137,0
2071,IBIZA,7,2013,1053816,9878,282257
2072,JEREZ DE LA FRONTERA,7,2013,96986,4450,11
2073,LA GOMERA,7,2013,2426,159,48
2074,LA PALMA,7,2013,69072,1106,48131
2075,LANZAROTE-CESAR MANRIQUE,7,2013,484370,3857,186353
2076,LEON,7,2013,6039,267,0
2077,LOGROÑO,7,2013,745,97,0
2078,MADRID-CUATRO VIENTOS,7,2013,255,3357,0
2079,MADRID-TORREJON,7,2013,0,0,0
2080,MALAGA-COSTA DEL SOL,7,2013,1551872,11746,264174
2081,MELILLA,7,2013,23352,680,12795
2082,MENORCA,7,2013,490495,3913,182670
2083,MURCIA-SAN JAVIER,7,2013,160748,1333,41
2084,PALMA DE MALLORCA,7,2013,3390323,23518,1337311
2085,PAMPLONA,7,2013,18584,588,11
2086,REUS,7,2013,166984,2240,0
2087,SABADELL,7,2013,280,2957,426
2088,SALAMANCA,7,2013,2420,936,0
2089,SAN SEBASTIAN,7,2013,23901,693,155
2090,SANTIAGO-ROSALIA DE CASTRO,7,2013,219970,1906,193443
2091,SEVE BALLESTEROS-SANTANDER,7,2013,111956,1173,0
2092,SEVILLA,7,2013,335257,3716,422962
2093,SON BONET,7,2013,480,1828,0
2094,TENERIFE NORTE-C. LA LAGUNA,7,2013,333053,4477,1417066
2095,TENERIFE SUR,7,2013,678491,4247,227035
2096,VALENCIA,7,2013,503832,5712,977366
2097,VALLADOLID,7,2013,24521,435,20000
2098,VIGO,7,2013,64786,969,28061
2099,VITORIA,7,2013,277,504,3349257
2100,ZARAGOZA,7,2013,47076,751,6072941
2101,A CORUÑA,8,2013,79281,1403,3738
2102,ADOLFO SUAREZ MADRID-BARAJAS,8,2013,3801907,28695,26024532
2103,ALBACETE,8,2013,25,18,0
2104,ALGECIRAS-HELIPUERTO,8,2013,76,20,0
2105,ALICANTE-ELCHE,8,2013,1166676,7806,168706
2106,ALMERIA,8,2013,95796,1070,1486
2107,ASTURIAS,8,2013,98481,916,5860
2108,BADAJOZ,8,2013,4106,170,0
2109,BARCELONA-EL PRAT J.T.,8,2013,3906955,27514,7045243
2110,BILBAO,8,2013,381594,3713,171256
2111,BURGOS,8,2013,2905,352,0
2112,CEUTA-HELIPUERTO,8,2013,169,60,0
2113,CORDOBA,8,2013,546,496,0
2114,EL HIERRO,8,2013,12074,349,8980
2115,FGL GRANADA-JAEN,8,2013,55877,918,1087
2116,FUERTEVENTURA,8,2013,426549,3405,78865
2117,GIRONA-COSTA BRAVA,8,2013,407535,3323,227
2118,GRAN CANARIA,8,2013,765033,7373,1466562
2119,HUESCA-PIRINEOS,8,2013,4,145,0
2120,IBIZA,8,2013,1162967,10906,262231
2121,JEREZ DE LA FRONTERA,8,2013,102509,4275,47
2122,LA GOMERA,8,2013,2955,165,76
2123,LA PALMA,8,2013,72119,1139,42495
2124,LANZAROTE-CESAR MANRIQUE,8,2013,538484,4219,191015
2125,LEON,8,2013,5930,306,462
2126,LOGROÑO,8,2013,465,124,0
2127,MADRID-CUATRO VIENTOS,8,2013,123,2917,0
2128,MADRID-TORREJON,8,2013,0,0,0
2129,MALAGA-COSTA DEL SOL,8,2013,1590145,12140,312676
2130,MELILLA,8,2013,25476,690,10766
2131,MENORCA,8,2013,551009,4361,198635
2132,MURCIA-SAN JAVIER,8,2013,167601,1357,0
2133,PALMA DE MALLORCA,8,2013,3548285,24226,1177258
2134,PAMPLONA,8,2013,11267,475,0
2135,REUS,8,2013,167136,1709,0
2136,SABADELL,8,2013,363,2293,0
2137,SALAMANCA,8,2013,2265,941,0
2138,SAN SEBASTIAN,8,2013,18638,606,935
2139,SANTIAGO-ROSALIA DE CASTRO,8,2013,233113,2021,151089
2140,SEVE BALLESTEROS-SANTANDER,8,2013,106928,1195,1044
2141,SEVILLA,8,2013,327160,3340,301603
2142,SON BONET,8,2013,575,1651,0
2143,TENERIFE NORTE-C. LA LAGUNA,8,2013,341607,4334,1116283
2144,TENERIFE SUR,8,2013,708404,4324,227580
2145,VALENCIA,8,2013,531262,5623,873530
2146,VALLADOLID,8,2013,26950,489,1442
2147,VIGO,8,2013,68282,1153,31460
2148,VITORIA,8,2013,159,416,2497332
2149,ZARAGOZA,8,2013,50352,735,6379653
2150,A CORUÑA,9,2013,80075,1228,1170
2151,ADOLFO SUAREZ MADRID-BARAJAS,9,2013,3614692,28971,26698340
2152,ALBACETE,9,2013,85,34,0
2153,ALICANTE-ELCHE,9,2013,1023286,6923,208805
2154,ALMERIA,9,2013,79688,1042,840
2155,ASTURIAS,9,2013,90680,874,8026
2156,BADAJOZ,9,2013,3908,155,0
2157,BARCELONA-EL PRAT J.T.,9,2013,3526385,25828,8096639
2158,BILBAO,9,2013,354181,3748,225604
2159,BURGOS,9,2013,1645,269,0
2160,CEUTA-HELIPUERTO,9,2013,124,35,0
2161,CORDOBA,9,2013,643,493,0
2162,EL HIERRO,9,2013,10932,326,8848
2163,FGL GRANADA-JAEN,9,2013,59897,867,1053
2164,FUERTEVENTURA,9,2013,363909,2878,80050
2165,GIRONA-COSTA BRAVA,9,2013,333885,2969,152
2166,GRAN CANARIA,9,2013,719841,7022,1667232
2167,HUESCA-PIRINEOS,9,2013,2,131,0
2168,IBIZA,9,2013,887793,7483,209224
2169,JEREZ DE LA FRONTERA,9,2013,92652,3728,77
2170,LA GOMERA,9,2013,2148,154,38
2171,LA PALMA,9,2013,64008,1017,41585
