,AIRPORTS,MONTH,YEAR,PAX,MOVEMENTS,CARGO (KG)
106,CEUTA-HELIPUERTO,3,2010,1843,224,127
107,CORDOBA,3,2010,1009,1083,0
108,EL HIERRO,3,2010,14779,370,13433
109,FGL GRANADA-JAEN,3,2010,106498,1342,2902
110,FUERTEVENTURA,3,2010,350671,3278,157168
111,GIRONA-COSTA BRAVA,3,2010,364468,3277,4156
112,GRAN CANARIA,3,2010,936117,9534,2273369
113,HUESCA-PIRINEOS,3,2010,1867,1564,0
114,IBIZA,3,2010,147757,2297,196196
115,JEREZ DE LA FRONTERA,3,2010,86134,3324,21503
116,LA GOMERA,3,2010,2564,144,845
117,LA PALMA,3,2010,91842,1720,97712
118,LANZAROTE-CESAR MANRIQUE,3,2010,432039,3862,301833
119,LEON,3,2010,7373,378,314
120,LOGROÑO,3,2010,2609,429,0
121,MADRID-CUATRO VIENTOS,3,2010,11,4275,0
122,MADRID-TORREJON,3,2010,2504,1036,0
123,MALAGA-COSTA DEL SOL,3,2010,795201,7127,268130
124,MELILLA,3,2010,25109,724,30856
125,MENORCA,3,2010,84164,1409,157509
126,MURCIA-SAN JAVIER,3,2010,77062,900,262
127,PALMA DE MALLORCA,3,2010,1111550,10657,1443679
128,PAMPLONA,3,2010,25283,890,2316
129,REUS,3,2010,45700,1661,16322
130,SABADELL,3,2010,0,3273,0
131,SALAMANCA,3,2010,2494,1041,0
132,SAN SEBASTIAN,3,2010,24942,749,1616
133,SANTIAGO-ROSALIA DE CASTRO,3,2010,170839,1699,169105
134,SEVE BALLESTEROS-SANTANDER,3,2010,70789,1309,0
135,SEVILLA,3,2010,364797,5026,449961
136,SON BONET,3,2010,0,1010,0
137,TENERIFE NORTE-C. LA LAGUNA,3,2010,335272,5493,1586983
138,TENERIFE SUR,3,2010,711598,4963,404579
139,VALENCIA,3,2010,390846,6218,1190265
140,VALLADOLID,3,2010,30357,701,1133
141,VIGO,3,2010,85879,1234,76939
142,VITORIA,3,2010,6377,644,2503098
143,ZARAGOZA,3,2010,44310,1029,3116222
144,A CORUÑA,4,2010,86578,1588,13308
145,ADOLFO SUAREZ MADRID-BARAJAS,4,2010,3964202,35270,31224069
146,ALBACETE,4,2010,1061,128,0
147,ALICANTE-ELCHE,4,2010,704224,6024,248687
148,ALMERIA,4,2010,73874,1482,632
149,ASTURIAS,4,2010,104306,1258,10008
150,BADAJOZ,4,2010,6466,272,0
151,BARCELONA-EL PRAT J.T.,4,2010,2229097,22205,11006351
152,BILBAO,4,2010,327711,4924,160810
153,BURGOS,4,2010,2686,279,0
154,CEUTA-HELIPUERTO,4,2010,1890,206,159
155,CORDOBA,4,2010,1385,886,0
156,EL HIERRO,4,2010,13654,336,11634
157,FGL GRANADA-JAEN,4,2010,99062,1359,3497
158,FUERTEVENTURA,4,2010,305821,3204,132189
159,GIRONA-COSTA BRAVA,4,2010,388158,3537,424
160,GRAN CANARIA,4,2010,713714,8344,1873841
161,HUESCA-PIRINEOS,4,2010,435,1647,0
162,IBIZA,4,2010,200303,3188,201035
163,JEREZ DE LA FRONTERA,4,2010,90192,3139,7870
164,LA GOMERA,4,2010,2847,158,663
165,LA PALMA,4,2010,79967,1578,69390
166,LANZAROTE-CESAR MANRIQUE,4,2010,370730,3635,276967
167,LEON,4,2010,7753,388,323
168,LOGROÑO,4,2010,2483,349,0
169,MADRID-CUATRO VIENTOS,4,2010,29,4815,0
170,MADRID-TORREJON,4,2010,2774,1113,0
171,MALAGA-COSTA DEL SOL,4,2010,896547,8500,211146
172,MELILLA,4,2010,25311,774,28259
173,MENORCA,4,2010,101290,1670,157133
174,MURCIA-SAN JAVIER,4,2010,100156,1102,31
175,PALMA DE MALLORCA,4,2010,1334020,12997,1383204
176,PAMPLONA,4,2010,24335,932,4380
177,REUS,4,2010,71210,2160,890
178,SABADELL,4,2010,0,3793,0
179,SALAMANCA,4,2010,3539,947,0
180,SAN SEBASTIAN,4,2010,25467,931,1892
181,SANTIAGO-ROSALIA DE CASTRO,4,2010,173265,1730,151938
182,SEVE BALLESTEROS-SANTANDER,4,2010,67900,1393,0
183,SEVILLA,4,2010,375566,4834,897833
184,SON BONET,4,2010,0,1096,0
185,TENERIFE NORTE-C. LA LAGUNA,4,2010,332632,5306,1157340
186,TENERIFE SUR,4,2010,558722,4218,297215
187,VALENCIA,4,2010,403356,6622,905299
188,VALLADOLID,4,2010,34290,787,44
189,VIGO,4,2010,83596,1169,61541
190,VITORIA,4,2010,6973,669,3079275
191,ZARAGOZA,4,2010,40879,897,4183511
192,A CORUÑA,5,2010,97299,1516,15559
193,ADOLFO SUAREZ MADRID-BARAJAS,5,2010,4287075,37703,31560828
194,ALBACETE,5,2010,1091,104,0
195,ALICANTE-ELCHE,5,2010,881139,7168,250314
196,ALMERIA,5,2010,73691,1537,260
197,ASTURIAS,5,2010,104229,1326,10374
198,BADAJOZ,5,2010,6157,362,0
199,BARCELONA-EL PRAT J.T.,5,2010,2511974,24136,9044519
200,BILBAO,5,2010,330476,4642,239146
201,BURGOS,5,2010,3196,273,0
202,CEUTA-HELIPUERTO,5,2010,1756,214,181
203,CORDOBA,5,2010,1094,826,0
204,EL HIERRO,5,2010,15248,374,11539
205,FGL GRANADA-JAEN,5,2010,78723,1229,2474
206,FUERTEVENTURA,5,2010,308177,3132,136290
207,GIRONA-COSTA BRAVA,5,2010,472967,4234,8446
208,GRAN CANARIA,5,2010,679630,8197,1947912
209,HUESCA-PIRINEOS,5,2010,22,879,0
210,IBIZA,5,2010,437979,5103,264967
211,JEREZ DE LA FRONTERA,5,2010,104463,2874,10592
212,LA GOMERA,5,2010,3424,172,836
213,LA PALMA,5,2010,77811,1649,77000
214,LANZAROTE-CESAR MANRIQUE,5,2010,362109,4013,421681
215,LEON,5,2010,6488,424,349
216,LOGROÑO,5,2010,1773,235,0
217,MADRID-CUATRO VIENTOS,5,2010,65,4947,0
218,MADRID-TORREJON,5,2010,4628,1518,0
219,MALAGA-COSTA DEL SOL,5,2010,1129851,9796,229243
220,MELILLA,5,2010,24914,772,31345
221,MENORCA,5,2010,213864,2515,205040
222,MURCIA-SAN JAVIER,5,2010,141467,1399,66
223,PALMA DE MALLORCA,5,2010,2192294,18165,1631201
224,PAMPLONA,5,2010,25040,954,1832
225,REUS,5,2010,170825,2960,2390
226,SABADELL,5,2010,0,3758,0
227,SALAMANCA,5,2010,2635,1230,0
228,SAN SEBASTIAN,5,2010,25938,932,2150
229,SANTIAGO-ROSALIA DE CASTRO,5,2010,168677,1696,141724
230,SEVE BALLESTEROS-SANTANDER,5,2010,76780,1566,0
231,SEVILLA,5,2010,378222,5090,394320
232,SON BONET,5,2010,0,1326,0
233,TENERIFE NORTE-C. LA LAGUNA,5,2010,343318,5573,1377251
234,TENERIFE SUR,5,2010,458948,3540,308290
235,VALENCIA,5,2010,424123,7070,974955
236,VALLADOLID,5,2010,38019,832,1037
237,VIGO,5,2010,91857,1243,62074
238,VITORIA,5,2010,4888,764,2301856
239,ZARAGOZA,5,2010,40840,1045,3035156
240,A CORUÑA,6,2010,99230,1509,19784
241,ADOLFO SUAREZ MADRID-BARAJAS,6,2010,4454590,37768,29788072
242,ALBACETE,6,2010,949,110,0
243,ALICANTE-ELCHE,6,2010,947150,7352,271627
244,ALMERIA,6,2010,69968,1482,961
245,ASTURIAS,6,2010,125197,1498,9059
246,BADAJOZ,6,2010,4675,310,0
247,BARCELONA-EL PRAT J.T.,6,2010,2629818,24757,7966910
248,BILBAO,6,2010,370435,4941,240413
249,BURGOS,6,2010,3131,345,0
250,CEUTA-HELIPUERTO,6,2010,1657,209,120
251,CORDOBA,6,2010,783,629,0
252,EL HIERRO,6,2010,14746,358,13365
253,FGL GRANADA-JAEN,6,2010,73341,1082,2059
254,FUERTEVENTURA,6,2010,328174,3141,131917
255,GIRONA-COSTA BRAVA,6,2010,512848,4405,6422
256,GRAN CANARIA,6,2010,670802,8080,1779894
257,HUESCA-PIRINEOS,6,2010,19,1146,0
258,IBIZA,6,2010,689015,6981,332401
259,JEREZ DE LA FRONTERA,6,2010,104490,2915,12681
260,LA GOMERA,6,2010,3224,165,638
261,LA PALMA,6,2010,77987,1713,73868
262,LANZAROTE-CESAR MANRIQUE,6,2010,384859,3839,339346
263,LEON,6,2010,7108,418,273
264,LOGROÑO,6,2010,1933,270,0
265,MADRID-CUATRO VIENTOS,6,2010,28,4039,0
266,MADRID-TORREJON,6,2010,2568,1137,0
267,MALAGA-COSTA DEL SOL,6,2010,1203350,10184,248279
268,MELILLA,6,2010,25569,759,30427
269,MENORCA,6,2010,334313,3229,253428
270,MURCIA-SAN JAVIER,6,2010,159015,1492,67
271,PALMA DE MALLORCA,6,2010,2538226,19278,1653510
272,PAMPLONA,6,2010,27532,1018,4100
273,REUS,6,2010,206261,3042,3802
274,SABADELL,6,2010,0,3673,0
275,SALAMANCA,6,2010,3075,1118,0
276,SAN SEBASTIAN,6,2010,28911,952,2360
277,SANTIAGO-ROSALIA DE CASTRO,6,2010,184274,1806,158309
278,SEVE BALLESTEROS-SANTANDER,6,2010,84756,1506,0
279,SEVILLA,6,2010,358137,4678,421581
280,SON BONET,6,2010,0,1686,0
281,TENERIFE NORTE-C. LA LAGUNA,6,2010,351438,5313,1208034
282,TENERIFE SUR,6,2010,496436,3640,317276
283,VALENCIA,6,2010,451692,7290,1073057
284,VALLADOLID,6,2010,34240,780,437
285,VIGO,6,2010,97925,1312,72056
286,VITORIA,6,2010,1934,596,2270101
287,ZARAGOZA,6,2010,46686,1098,3281399
288,A CORUÑA,7,2010,105880,1606,18851
289,ADOLFO SUAREZ MADRID-BARAJAS,7,2010,4918246,38791,30133487
290,ALBACETE,7,2010,1158,127,0
291,ALGECIRAS-HELIPUERTO,7,2010,955,128,0
292,ALICANTE-ELCHE,7,2010,1099603,8019,295120
293,ALMERIA,7,2010,84085,1534,1030
294,ASTURIAS,7,2010,146412,1719,7566
295,BADAJOZ,7,2010,6091,381,0
296,BARCELONA-EL PRAT J.T.,7,2010,2974395,26015,8934771
297,BILBAO,7,2010,408279,5260,257364
298,BURGOS,7,2010,4107,513,0
299,CEUTA-HELIPUERTO,7,2010,2556,307,60
300,CORDOBA,7,2010,561,598,0
301,EL HIERRO,7,2010,15506,374,12657
302,FGL GRANADA-JAEN,7,2010,77558,1160,3212
303,FUERTEVENTURA,7,2010,407464,3638,155080
304,GIRONA-COSTA BRAVA,7,2010,597416,4874,3181
305,GRAN CANARIA,7,2010,753751,8511,1863928
306,HUESCA-PIRINEOS,7,2010,21,1233,0
307,IBIZA,7,2010,957411,9496,400384
308,JEREZ DE LA FRONTERA,7,2010,117976,3742,14127
309,LA GOMERA,7,2010,2942,143,491
310,LA PALMA,7,2010,100531,1999,73513
311,LANZAROTE-CESAR MANRIQUE,7,2010,480728,4367,276590
312,LEON,7,2010,10322,505,569
313,LOGROÑO,7,2010,1956,394,0
314,MADRID-CUATRO VIENTOS,7,2010,37,4451,0
315,MADRID-TORREJON,7,2010,2582,1117,13
316,MALAGA-COSTA DEL SOL,7,2010,1479349,12118,313140
317,MELILLA,7,2010,28342,806,29297
318,MENORCA,7,2010,457090,4359,294408
319,MURCIA-SAN JAVIER,7,2010,189419,1680,200
320,PALMA DE MALLORCA,7,2010,3044573,22147,1686254
321,PAMPLONA,7,2010,31090,984,2620
322,REUS,7,2010,233599,3367,66515
323,SABADELL,7,2010,0,4237,0
324,SALAMANCA,7,2010,7235,1388,0
325,SAN SEBASTIAN,7,2010,26196,1001,1524
326,SANTIAGO-ROSALIA DE CASTRO,7,2010,222843,2127,215332
327,SEVE BALLESTEROS-SANTANDER,7,2010,98578,1647,0
328,SEVILLA,7,2010,386692,4828,433094
329,SON BONET,7,2010,0,2115,0
330,TENERIFE NORTE-C. LA LAGUNA,7,2010,386131,5429,1189702
331,TENERIFE SUR,7,2010,602469,4140,334666
332,VALENCIA,7,2010,513216,7324,956996
333,VALLADOLID,7,2010,42308,943,5740
334,VIGO,7,2010,110154,1680,62850
335,VITORIA,7,2010,3427,639,2413729
336,ZARAGOZA,7,2010,73661,1392,3759622
337,A CORUÑA,8,2010,100773,1515,20292
338,ADOLFO SUAREZ MADRID-BARAJAS,8,2010,4829301,37302,27633624
339,ALBACETE,8,2010,1480,84,0
340,ALGECIRAS-HELIPUERTO,8,2010,2048,252,0
341,ALICANTE-ELCHE,8,2010,1114066,8038,245265
342,ALMERIA,8,2010,85105,1469,2277
343,ASTURIAS,8,2010,142713,1685,8770
344,BADAJOZ,8,2010,7059,349,0
345,BARCELONA-EL PRAT J.T.,8,2010,3043420,24538,7173357
